repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects,status,ahead_by,behind_by
erpragatisingh-AndroidDeveloper/android-BasicImmersiveMode,0,272,0,1,0,5,0,2015-01-12T06:26:22Z,0,behind,0,19
panhongjin/android-BasicImmersiveMode,0,600,0,1,0,7,0,2015-04-21T04:53:23Z,0,behind,0,17
AdamRLukaitis/android-BasicImmersiveMode,0,606,0,1,0,13,0,2015-09-20T10:58:32Z,0,behind,0,11
timmothymcla/android-BasicImmersiveMode,0,465,0,0,0,15,0,2015-11-24T22:00:47Z,0,behind,0,9
kleopatra999/android-BasicImmersiveMode,0,471,0,1,0,18,0,2016-05-31T15:09:39Z,0,behind,0,6
agentraymond232/android-BasicImmersiveMode,0,471,0,1,0,19,0,2016-08-17T17:16:31Z,0,behind,0,5
paladinstha/android-BasicImmersiveMode,0,471,0,0,0,19,0,2016-08-22T06:02:06Z,0,behind,0,5
Prasad1986/android-BasicImmersiveMode,0,471,0,1,0,19,0,2016-10-18T10:39:46Z,0,behind,0,5
pk-codebox-evo/android-apps-android-BasicImmersiveMode,0,464,0,1,0,20,0,2017-01-23T06:53:15Z,0,behind,0,4
ritesh-bhavsar86/android-BasicImmersiveMode,0,465,0,1,0,21,0,2017-05-26T09:59:14Z,0,behind,0,3
MagicianKing/android-BasicImmersiveMode,0,465,0,1,0,22,0,2017-07-29T01:58:17Z,0,behind,0,2
baoleibai/android-BasicImmersiveMode,0,466,0,1,0,23,0,2017-10-18T08:35:54Z,0,behind,0,1
edymaradona/android-BasicImmersiveMode,0,466,0,0,0,23,0,2017-12-16T19:58:04Z,0,behind,0,1
anthrax3/android-BasicImmersiveMode,0,467,0,1,0,24,0,2018-03-05T02:20:30Z,0,identical,0,0
