android-TextLinkify/build.gradle,07d4e2cf19d86ee99f41dffe20878e19f90bbb0e,google-automerger,Tue Sep 2 11:01:46 2014 -0700,Tue Sep 2 11:01:46 2014 -0700,Initial Commit
android-TextLinkify/Application/build.gradle,13587c4343500ef7d4b3e5e19fff27f3e5d5c576,google-automerger,Thu Feb 15 16:38:28 2018 -0800,Thu Feb 15 16:38:28 2018 -0800,Auto-update
android-TextLinkify/Application/build.gradle,5465a6398561cdf7d7ac862d7421f1af71a20388,google-automerger,Tue Oct 10 17:55:06 2017 -0700,Tue Oct 10 17:55:06 2017 -0700,Auto-update
android-TextLinkify/Application/build.gradle,ad4c57309987a4a8de429aec1eea38dcad93bde3,google-automerger,Thu Jun 8 09:36:21 2017 -0700,Thu Jun 8 09:36:21 2017 -0700,Auto-update
android-TextLinkify/Application/build.gradle,3b2ba48dd21b51572c41611350a2ac9914683343,google-automerger,Wed May 17 13:35:16 2017 -0700,Wed May 17 13:35:16 2017 -0700,Auto-update
android-TextLinkify/Application/build.gradle,d94b701f5f13408f95643b4f8088c1d720086218,google-automerger,Tue Dec 13 09:41:24 2016 -0800,Tue Dec 13 09:41:24 2016 -0800,Auto-update
android-TextLinkify/Application/build.gradle,ea726b1adf7962b6a55635d0dac0af2774c78ac9,google-automerger,Fri Aug 12 15:20:21 2016 -0700,Fri Aug 12 15:20:21 2016 -0700,Auto-update
android-TextLinkify/Application/build.gradle,303ba72a7e65c3a41ce50f112010a02a9010ad8e,google-automerger,Wed May 18 11:39:45 2016 -0700,Wed May 18 11:39:45 2016 -0700,Auto-update
android-TextLinkify/Application/build.gradle,dc9d3d4c25277871b7ad8a916b77cd12433caa43,google-automerger,Wed Apr 20 12:27:48 2016 -0700,Wed Apr 20 12:27:48 2016 -0700,Auto-update
android-TextLinkify/Application/build.gradle,60924c9000addd22e3fe969d1a04bfbd87a500db,google-automerger,Wed Nov 18 09:34:53 2015 -0800,Wed Nov 18 09:34:53 2015 -0800,Auto-update
android-TextLinkify/Application/build.gradle,c18b9482c810c14f339f29a9e8661db1056c5c2f,google-automerger,Thu Oct 8 17:44:03 2015 -0700,Thu Oct 8 17:44:03 2015 -0700,Auto-update
android-TextLinkify/Application/build.gradle,d1d8d05c8b1df53beb7f1b515a7e77369a69be00,google-automerger,Mon Aug 17 09:55:42 2015 -0700,Mon Aug 17 09:55:42 2015 -0700,Auto-update
android-TextLinkify/Application/build.gradle,e560797ee46e7fee03095285190558eb1ab2e2bd,google-automerger,Thu Jul 9 11:11:30 2015 -0700,Thu Jul 9 11:11:30 2015 -0700,Auto-update
android-TextLinkify/Application/build.gradle,51b5d71a0cfcc40e8a453a5227b2f21f6b1d1256,google-automerger,Thu May 21 10:05:33 2015 -0700,Thu May 21 10:05:33 2015 -0700,Auto-update
android-TextLinkify/Application/build.gradle,0f41bae495178145146dfc790ba5739180dfff1a,google-automerger,Tue Apr 28 10:57:13 2015 -0700,Tue Apr 28 10:57:13 2015 -0700,Auto-update
android-TextLinkify/Application/build.gradle,24ca474afea8bd4ca159251593ac47ee5b376929,google-automerger,Mon Mar 30 17:46:01 2015 -0700,Mon Mar 30 17:46:01 2015 -0700,Auto-update
android-TextLinkify/Application/build.gradle,0efac9459ac1c44f1f89516b02938fbc30d02631,google-automerger,Mon Dec 8 17:53:03 2014 -0800,Mon Dec 8 17:53:03 2014 -0800,Auto-update
android-TextLinkify/Application/build.gradle,d3aa2233d8cb20e666cffc81de3c13e09af2c0ad,google-automerger,Wed Dec 3 01:59:44 2014 -0800,Wed Dec 3 01:59:44 2014 -0800,Auto-update
android-TextLinkify/Application/build.gradle,79fec06a6d9cd66f0947306e928268d593215f1b,google-automerger,Tue Nov 18 16:21:09 2014 -0800,Tue Nov 18 16:21:09 2014 -0800,Auto-update
