repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects
account-transfer-api,10,96,12,11,0,2,0,2018-10-15T10:37:34Z,0
android-AccelerometerPlay,53,3313,80,23,1,1,1,2018-11-03T12:52:47Z,0
android-ActionBarCompat-Basic,41,266,49,23,0,25,0,2018-10-13T03:32:50Z,0
android-ActionBarCompat-ListPopupMenu,42,303,55,22,0,25,0,2018-11-03T07:25:43Z,0
android-ActionBarCompat-ShareActionProvider,150,1587,111,45,3,19,2,2018-10-20T01:39:58Z,0
android-ActionBarCompat-Styled,49,297,48,23,1,24,0,2018-11-09T18:30:19Z,0
android-ActiveNotifications,95,559,212,39,7,17,4,2018-11-14T03:59:34Z,0
android-ActivityInstrumentation,35,119,40,15,0,24,2,2018-11-12T12:44:37Z,0
android-ActivitySceneTransitionBasic,107,9151,317,30,8,25,3,2018-11-13T08:00:20Z,0
android-ads,185,918,167,33,6,35,3,2018-11-05T18:36:34Z,0
android-AdvancedImmersiveMode,27,302,56,20,0,24,0,2018-11-14T04:02:15Z,0
android-AlwaysOn,25,222,20,11,1,22,0,2018-11-01T20:39:41Z,0
android-AppRestrictionEnforcer,30,302,28,24,3,25,0,2018-11-13T20:56:11Z,0
android-AppRestrictions,20,297,15,18,1,25,0,2018-11-06T09:06:40Z,0
android-AppRestrictionSchema,22,273,36,20,1,26,0,2018-10-15T10:12:33Z,0
android-AppShortcuts,112,830,160,29,12,7,6,2018-11-13T00:39:29Z,0
android-AppUsageStatistics,78,807,220,39,9,21,3,2018-11-13T01:58:20Z,0
android-AsymmetricFingerprintDialog,75,7084,196,36,7,20,4,2018-11-13T06:35:10Z,0
android-AutoBackupForApps,29,198,65,11,1,14,2,2018-10-15T10:14:40Z,0
android-AutofillFramework,202,104313,357,67,17,28,0,2018-11-08T20:15:55Z,0
android-BasicAccessibility,50,362,100,30,5,25,5,2018-11-11T07:34:57Z,0
android-BasicAndroidKeyStore,43,615,130,20,3,25,0,2018-11-12T07:21:15Z,0
android-BasicContactables,28,501,41,16,1,26,1,2018-09-30T12:01:18Z,0
android-BasicGestureDetect,67,305,53,14,0,24,0,2018-10-22T03:26:59Z,0
android-BasicImmersiveMode,17,467,18,17,1,24,0,2018-11-14T04:04:01Z,0
android-BasicManagedProfile,68,554,102,37,4,25,4,2018-10-15T10:19:50Z,0
android-BasicMediaDecoder,51,7126,83,20,6,25,0,2018-11-11T13:15:43Z,0
android-BasicMediaRouter,22,120,33,18,0,24,0,2018-11-10T13:43:33Z,0
android-BasicMultitouch,32,288,29,17,1,24,0,2018-11-12T05:27:24Z,0
android-BasicNetworking,70,361,80,30,0,24,0,2018-11-09T18:29:16Z,0
android-BasicNotifications,71,364,86,25,4,24,4,2018-11-05T13:11:50Z,0
android-BasicRenderScript,34,1839,55,17,5,23,1,2018-11-09T04:22:37Z,0
android-BasicSyncAdapter,109,474,203,24,7,26,5,2018-11-12T09:13:33Z,0
android-BasicTransition,39,308,75,14,1,24,1,2018-11-07T01:14:02Z,0
android-BatchStepSensor,46,1056,111,20,1,25,1,2018-11-10T06:59:52Z,0
android-BeamLargeFiles,29,329,51,20,2,18,0,2018-10-22T08:59:22Z,0
android-BluetoothAdvertisements,106,216,197,25,11,17,1,2018-11-04T20:26:39Z,0
android-BluetoothChat,560,569,776,87,26,25,11,2018-11-13T10:27:47Z,0
android-BluetoothLeGatt,484,313,687,82,44,25,13,2018-11-24T15:23:02Z,0
android-BorderlessButtons,40,344,45,16,2,24,1,2018-10-31T21:32:16Z,0
android-Camera2Basic,1000,1458,1883,140,106,28,25,2018-11-12T04:03:40Z,0
android-Camera2Raw,130,1368,288,39,16,17,6,2018-11-12T07:00:08Z,0
android-Camera2Video,441,6928,876,77,83,27,9,2018-11-13T10:16:03Z,0
android-CardEmulation,58,627,101,23,5,24,0,2018-11-13T15:35:35Z,0
android-CardReader,60,615,77,26,1,24,1,2018-10-22T03:25:30Z,0
android-CardView,188,125,248,42,6,26,2,2018-11-14T03:59:46Z,0
android-ClippingBasic,25,448,80,20,0,25,1,2018-11-14T03:57:16Z,0
android-codelab-watchface,32,581,63,12,2,1,1,2018-06-14T09:32:23Z,0
android-CommitContentSampleApp,14,217,22,14,3,7,1,2018-10-15T10:08:59Z,0
android-CommitContentSampleIME,21,1065,41,9,13,7,1,2018-11-13T23:11:22Z,0
