repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects,status,ahead_by,behind_by
kstenstedt/android-testdpc,0,751,0,1,0,54,0,2015-06-06T22:26:52Z,0,behind,0,790
omeirhaeghe/android-testdpc,0,757,0,1,0,54,0,2015-07-13T12:54:40Z,0,behind,0,790
kuxor/android-testdpc,0,757,0,1,0,54,0,2015-07-26T13:06:12Z,0,behind,0,790
joei4cm/android-testdpc,0,757,0,1,0,54,0,2015-07-27T09:40:43Z,0,behind,0,790
guogang0415/android-testdpc,0,774,0,1,0,55,0,2015-09-08T01:03:40Z,0,behind,0,789
digideskio/DPC-Android,0,3868,0,0,0,162,0,2015-10-29T04:37:39Z,0,behind,0,682
lucioferro/android-testdpc,0,3916,0,1,0,165,0,2015-11-11T22:01:06Z,0,behind,0,679
Linzx/android-testdpc,0,3916,0,1,0,165,0,2015-12-08T00:59:31Z,0,behind,0,679
roquediniz/android-testdpc,0,3916,0,1,0,165,0,2015-12-28T11:20:17Z,0,behind,0,679
blueam/android-testdpc,0,3916,0,1,0,165,0,2016-01-09T11:49:47Z,0,behind,0,679
tnblumer/android-testdpc,0,3916,0,1,0,165,0,2016-02-06T21:16:12Z,0,behind,0,679
sigizmund/android-testdpc,0,3795,0,1,0,167,0,2016-02-08T15:56:13Z,0,diverged,2,679
living1069/android-testdpc,0,5234,0,1,0,353,0,2016-03-28T05:00:40Z,0,behind,0,491
auziel/android-testdpc,0,5234,0,1,0,353,0,2016-03-30T08:17:49Z,0,behind,0,491
gatolim/android-testdpc,0,5234,0,1,0,353,0,2016-04-08T15:40:47Z,0,behind,0,491
Hodoor/android-testdpc,0,5234,0,1,0,353,0,2016-04-13T09:15:49Z,0,behind,0,491
renlikuan/android-testdpc,0,5370,0,1,0,374,0,2016-04-18T06:45:48Z,0,behind,0,470
dianalynn1/android-testdpc,0,5370,0,1,0,374,0,2016-04-25T02:41:33Z,0,behind,0,470
verixomumbai/android-testdpc,0,5370,0,1,0,374,0,2016-04-25T07:53:32Z,0,behind,0,470
jaert/android-testdpc,0,5370,0,1,0,374,0,2016-05-11T12:05:40Z,0,behind,0,470
Chrison/android-testdpc,0,5432,0,0,0,409,0,2016-05-23T14:36:05Z,0,behind,0,435
freemindhack/android-testdpc,0,5432,0,1,0,409,0,2016-05-25T09:39:25Z,0,behind,0,435
kleopatra999/android-testdpc,0,5432,0,1,0,409,0,2016-05-30T23:15:47Z,0,behind,0,435
pkdevboxy/android-testdpc,0,5432,0,1,0,409,0,2016-06-02T10:01:06Z,0,behind,0,435
synaptek/android-testdpc,0,6888,0,1,0,844,0,2018-10-25T17:14:58Z,0,identical,0,0
M7mdAljehani/android-testdpc,0,5783,0,1,0,446,0,2016-07-04T16:37:34Z,0,behind,0,398
anandhakumarmca/android-testdpc,0,5783,0,1,0,446,0,2016-07-08T07:51:19Z,0,behind,0,398
gagang123/android-testdpc,0,5857,0,1,0,489,0,2016-08-16T17:48:12Z,0,behind,0,355
paladinstha/android-testdpc,0,5857,0,0,0,489,0,2016-08-22T06:03:32Z,0,behind,0,355
prabathabey/android-testdpc,0,5857,0,1,0,489,0,2016-08-25T09:23:56Z,0,behind,0,355
M69W/android-testdpc,0,5857,0,1,0,489,0,2016-08-25T18:55:43Z,0,behind,0,355
qianyukun/android-testdpc,0,5857,0,1,0,489,0,2016-09-12T16:35:12Z,0,behind,0,355
equizno345/android-testdpc,0,5857,0,1,0,489,0,2016-09-16T21:41:32Z,0,behind,0,355
diyfr/android-testdpc,0,5857,0,1,0,489,0,2016-10-16T16:48:05Z,0,behind,0,355
hsuhsinyi/android-testdpc,0,5857,0,1,0,489,0,2016-10-20T08:27:48Z,0,behind,0,355
ahmadRMusa/android-testdpc,0,5857,0,1,0,489,0,2016-10-31T23:25:38Z,0,behind,0,355
pfmaggi/android-testdpc,0,5857,0,1,0,489,0,2016-11-03T19:37:29Z,0,behind,0,355
gogobook/android-testdpc,0,5857,0,1,0,489,0,2016-11-14T02:42:29Z,0,behind,0,355
isolatorhk/android-testdpc,0,5698,0,1,0,490,0,2016-11-17T11:47:46Z,0,diverged,1,355
tejasverixo/android-testdpc,0,5890,0,0,0,490,0,2016-12-05T12:11:31Z,0,behind,0,354
xvjianzhe/android-testdpc,0,5890,0,1,0,490,0,2016-12-10T12:53:24Z,0,behind,0,354
ain-is/android-testdpc,0,5725,0,1,0,494,0,2016-12-12T06:09:14Z,0,diverged,4,354
zhangjiany2929/android-testdpc,0,5890,0,1,0,490,0,2016-12-13T10:40:34Z,0,behind,0,354
euudiay/android-testdpc,0,5890,0,1,0,490,0,2017-01-20T08:35:19Z,0,behind,0,354
sarodeud22/android-testdpc,0,5890,0,0,0,490,0,2017-01-25T05:37:12Z,0,behind,0,354
rastogiv/android-testdpc,0,5890,0,0,0,490,0,2017-03-01T14:29:44Z,0,behind,0,354
nickmarkfurness/android-testdpc,0,5890,0,1,0,490,0,2017-03-14T14:32:59Z,0,behind,0,354
