repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects,status,ahead_by,behind_by
charlenea91/android-codelab-watchface,0,541,0,1,0,1,0,2015-03-07T18:18:08Z,0,identical,0,0
mikepenz/android-codelab-watchface,0,545,1,2,0,1,0,2015-11-11T12:58:30Z,0,identical,0,0
roohis/android-codelab-watchface,0,541,0,1,0,1,0,2015-03-07T22:16:38Z,0,identical,0,0
ardock/android-codelab-watchface,0,1014,0,1,0,1,0,2015-03-10T02:49:31Z,0,identical,0,0
MaTriXy/android-codelab-watchface,0,541,0,0,0,1,0,2015-03-10T09:18:48Z,0,identical,0,0
AndyScherzinger/android-codelab-watchface,0,581,0,1,0,1,0,2015-03-13T09:20:07Z,0,identical,0,0
MuthuSundaravadivel/android-codelab-watchface,0,581,0,1,0,1,0,2015-03-20T07:34:42Z,0,identical,0,0
alonsotagle/android-codelab-watchface,0,581,0,1,0,1,0,2015-03-23T23:31:10Z,0,identical,0,0
japacible/android-codelab-watchface,0,581,0,1,0,1,0,2015-03-26T05:42:11Z,0,identical,0,0
ozyozyo/android-codelab-watchface,0,581,0,1,0,1,0,2015-03-28T04:33:16Z,0,identical,0,0
rainmatter/android-codelab-watchface,0,581,0,1,0,1,0,2015-03-28T21:13:59Z,0,identical,0,0
yesidlazaro/android-codelab-watchface,0,581,0,0,0,1,0,2015-04-13T22:59:50Z,0,identical,0,0
Javierski/android-codelab-watchface,0,581,0,1,0,1,0,2015-04-21T05:07:43Z,0,identical,0,0
emilyzheng828/android-codelab-watchface,0,581,0,1,0,1,0,2015-04-23T17:59:06Z,0,identical,0,0
ariviere/android-codelab-watchface,0,581,0,0,0,1,0,2015-05-11T16:26:45Z,0,identical,0,0
RippedThemer/android-codelab-watchface,0,581,0,1,0,1,0,2015-05-20T03:54:50Z,0,identical,0,0
baradrb/android-codelab-watchface,0,581,0,1,0,1,0,2015-06-27T05:53:26Z,0,identical,0,0
AlanCowap/android-codelab-watchface,0,581,0,1,0,1,0,2015-07-25T10:51:59Z,0,identical,0,0
Nikhil-z/android-codelab-watchface,0,581,0,1,0,1,0,2015-07-31T08:55:41Z,0,identical,0,0
flyingrhinocmg/android-codelab-watchface,0,581,0,0,0,1,0,2015-08-14T12:30:31Z,0,identical,0,0
AdamRLukaitis/android-codelab-watchface,0,581,0,1,0,1,0,2015-09-20T11:24:44Z,0,identical,0,0
defconcepts/android-codelab-watchface,0,581,1,2,0,1,0,2016-01-16T06:08:22Z,0,identical,0,0
luiscarino/android-codelab-watchface,0,581,0,1,0,1,0,2016-03-22T20:04:57Z,0,identical,0,0
kleopatra999/android-codelab-watchface,0,581,0,1,0,1,0,2016-06-01T14:34:54Z,0,identical,0,0
gangji001/android-codelab-watchface,0,581,0,1,0,1,0,2016-11-08T11:30:53Z,0,identical,0,0
benoitdevos/android-codelab-watchface,0,495,0,1,0,5,0,2016-12-20T12:04:32Z,0,ahead,4,0
AKNitra/android-codelab-watchface,0,581,0,0,0,1,0,2016-12-31T09:52:01Z,0,identical,0,0
edymaradona/android-codelab-watchface,0,581,0,0,0,1,0,2017-12-16T19:56:04Z,0,identical,0,0
anthrax3/android-codelab-watchface,0,581,0,1,0,1,0,2018-03-05T02:37:36Z,0,identical,0,0
