repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects,status,ahead_by,behind_by
chrismerris/gs-spring-boot,0,272,0,1,0,50,0,2013-09-13T22:02:38Z,0,behind,0,124
dilgerma/gs-spring-boot,0,483,0,1,0,61,0,2013-11-26T20:03:08Z,0,behind,0,113
jesesun/gs-spring-boot,0,483,0,1,0,61,0,2013-12-17T10:45:58Z,0,behind,0,113
ivan-saorin/gs-spring-boot,0,483,0,1,0,61,0,2013-12-22T13:44:49Z,0,behind,0,113
sandroagboka/gs-spring-boot,0,483,0,1,0,61,0,2013-12-26T23:00:46Z,0,behind,0,113
evpaassen/gs-spring-boot,0,483,0,1,0,61,0,2013-12-27T10:56:10Z,0,behind,0,113
kyeljmd/gs-spring-boot,0,483,0,1,0,61,0,2013-12-30T15:04:05Z,0,behind,0,113
amz/gs-spring-boot,0,232,0,1,0,64,0,2014-01-13T16:41:37Z,0,behind,0,110
kolodgeeva/gs-spring-boot,0,558,0,1,0,70,0,2014-02-11T19:37:33Z,0,behind,0,104
balamuru/gs-spring-boot,0,700,0,1,0,80,0,2014-03-05T22:01:58Z,0,behind,0,94
dhreines/gs-spring-boot,0,700,0,1,0,80,0,2014-03-06T20:35:41Z,0,behind,0,94
dsyer/gs-spring-boot,0,261,0,0,0,80,0,2014-03-13T16:10:01Z,0,behind,0,94
vicchugu/gs-spring-boot,0,221,0,1,0,83,0,2014-03-17T19:34:47Z,0,behind,0,91
Eheu-Lamassu/gs-spring-boot,0,764,0,1,0,86,0,2014-04-19T04:17:07Z,0,behind,0,88
mikegehard/gs-spring-boot,0,297,0,0,0,86,0,2014-06-03T18:33:54Z,0,behind,0,88
FONDETTIS/gs-spring-boot,0,764,0,1,0,86,0,2014-04-20T14:14:59Z,0,behind,0,88
szpak/gs-spring-boot,0,261,0,1,0,86,0,2014-04-22T21:56:08Z,0,behind,0,88
sreelathakoye/gs-spring-boot,0,806,0,1,0,88,0,2014-05-27T08:35:12Z,0,behind,0,86
362228416/gs-spring-boot,0,806,0,1,0,88,0,2014-05-29T05:24:39Z,0,behind,0,86
ojacquemart/gs-spring-boot,0,806,0,1,0,88,0,2014-06-01T20:44:15Z,0,behind,0,86
brijesh2k6/gs-spring-boot,0,806,0,1,0,88,0,2014-06-02T13:59:46Z,0,behind,0,86
rossh/gs-spring-boot,0,275,0,1,0,93,0,2014-06-05T15:18:30Z,0,diverged,2,83
mehran58/gs-spring-boot,0,233,0,1,0,91,0,2014-06-10T01:43:55Z,0,behind,0,83
mozammel/gs-spring-boot,0,241,0,1,0,93,0,2014-06-16T09:28:03Z,0,behind,0,81
JanetLandry/gs-spring-boot,0,874,0,1,0,93,0,2014-06-17T21:50:32Z,0,behind,0,81
ahmetdursun/gs-spring-boot,0,924,0,1,0,97,0,2014-07-01T06:10:26Z,0,behind,0,77
knivmakkara/gs-spring-boot,0,924,0,1,0,97,0,2014-07-01T06:10:26Z,0,behind,0,77
caditya/gs-spring-boot,0,924,0,1,0,97,0,2014-07-20T22:09:41Z,0,behind,0,77
arkenoid/gs-spring-boot,0,276,0,1,0,98,0,2014-07-27T03:53:33Z,0,diverged,1,77
Hyeong-jin/gs-spring-boot,0,937,0,1,0,98,0,2014-08-09T22:33:45Z,0,behind,0,76
ellizzabbetth/gs-spring-boot,0,948,0,1,0,100,0,2014-09-02T16:47:10Z,0,behind,0,74
sanjeeb-talukdar/gs-spring-boot,0,961,0,1,0,101,0,2014-09-02T16:47:10Z,0,behind,0,73
shefansxyh/gs-spring-boot,0,963,0,1,0,102,0,2014-09-02T16:47:10Z,0,behind,0,72
pcholakov/docker-spring-boot-primer,1,306,0,1,0,104,0,2014-10-13T20:18:15Z,0,diverged,2,72
pjskyboy/gs-spring-boot,0,963,0,1,0,102,0,2014-10-15T18:37:51Z,0,behind,0,72
sveluri/gs-spring-boot,0,963,0,1,0,102,0,2014-10-15T18:37:51Z,0,behind,0,72
igilham/gs-spring-boot,1,304,0,0,0,107,0,2014-11-14T10:31:33Z,0,diverged,4,71
cliftonmcintosh/gs-spring-boot,0,973,0,1,0,103,0,2014-11-25T20:38:47Z,0,behind,0,71
