framework,samples ,framework contributors ,sample contributors,common contributors,common/framework ,common/sample
Spring,tut-rest,666,11,5,"0,007507507507508","0,454545454545455"
Spring,gs-vault-config,666,8,6,"0,009009009009009","0,75"
Spring,gs-spring-boot,666,15,8,"0,012012012012012","0,533333333333333"
Spring,gs-rest-service,666,18,8,"0,012012012012012","0,444444444444444"
Spring,gs-spring-boot-docker,666,16,6,"0,009009009009009","0,375"
Spring,gs-scheduling-tasks,666,12,9,"0,013513513513514","0,75"
Spring,gs-maven,666,17,9,"0,013513513513514","0,529411764705882"
Spring,gs-crud-with-vaadin,666,13,7,"0,010510510510511","0,538461538461538"
Spring,gs-uploading-files,666,14,10,"0,015015015015015","0,714285714285714"
Spring,gs-testing-web,666,6,4,"0,006006006006006","0,666666666666667"
Spring,gs-serving-web-content,666,11,7,"0,010510510510511","0,636363636363636"
Spring,gs-service-registration-and-discovery,666,16,11,"0,016516516516517","0,6875"
Spring,gs-securing-web,666,21,13,"0,01951951951952","0,619047619047619"
Spring,gs-rest-service-cors,666,12,10,"0,015015015015015","0,833333333333333"
Spring,gs-relational-data-access,666,13,10,"0,015015015015015","0,769230769230769"
Spring,gs-producing-web-service,666,8,6,"0,009009009009009","0,75"
Spring,gs-multi-module,666,5,5,"0,007507507507508",1
Spring,gs-messaging-stomp-websocket,666,16,10,"0,015015015015015","0,625"
Spring,gs-messaging-rabbitmq,666,14,9,"0,013513513513514","0,642857142857143"
Spring,gs-messaging-jms,666,16,9,"0,013513513513514","0,5625"
Spring,gs-gradle,666,12,9,"0,013513513513514","0,75"
Spring,gs-consuming-web-service,666,9,4,"0,006006006006006","0,444444444444444"
Spring,gs-consuming-rest,666,17,11,"0,016516516516517","0,647058823529412"
Spring,gs-client-side-load-balancing,666,7,5,"0,007507507507508","0,714285714285714"
Spring,gs-centralized-configuration,666,12,9,"0,013513513513514","0,75"
Spring,gs-authenticating-ldap,666,15,11,"0,016516516516517","0,733333333333333"
Spring,gs-accessing-mongodb-data-rest,666,8,6,"0,009009009009009","0,75"
Spring,gs-accessing-data-rest,666,7,4,"0,006006006006006","0,571428571428571"
Spring,gs-accessing-data-mysql,666,9,7,"0,010510510510511","0,777777777777778"
Spring,gs-accessing-data-jpa,666,17,11,"0,016516516516517","0,647058823529412"
Spring,getting-started-guides,666,5,5,"0,007507507507508",1
Spring,gs-accessing-data-gemfire,666,11,9,"0,013513513513514","0,818181818181818"
Spring,gs-validating-form-input,666,14,9,"0,013513513513514","0,642857142857143"
Spring,gs-testing-restdocs,666,6,5,"0,007507507507508","0,833333333333333"
Spring,gs-spring-boot-for-azure,666,6,5,"0,007507507507508","0,833333333333333"
Spring,gs-rest-hateoas,666,12,10,"0,015015015015015","0,833333333333333"
Spring,gs-reactive-rest-service,666,8,6,"0,009009009009009","0,75"
Spring,gs-messaging-redis,666,12,9,"0,013513513513514","0,75"
Spring,gs-messaging-gcp-pubsub,666,9,4,"0,006006006006006","0,444444444444444"
Spring,gs-managing-transactions,666,9,8,"0,012012012012012","0,888888888888889"
Spring,gs-integration,666,12,10,"0,015015015015015","0,833333333333333"
Spring,gs-handling-form-submission,666,8,6,"0,009009009009009","0,75"
Spring,gs-gateway,666,5,4,"0,006006006006006","0,8"
Spring,gs-contract-rest,666,8,6,"0,009009009009009","0,75"
Spring,gs-circuit-breaker,666,8,6,"0,009009009009009","0,75"
Spring,gs-caching-gemfire,666,11,8,"0,012012012012012","0,727272727272727"
Spring,gs-caching,666,6,5,"0,007507507507508","0,833333333333333"
Spring,gs-batch-processing,666,12,9,"0,013513513513514","0,75"
Spring,gs-async-method,666,13,9,"0,013513513513514","0,692307692307692"
Spring,gs-actuator-service,666,16,10,"0,015015015015015","0,625"
Spring,gs-accessing-vault,666,6,6,"0,009009009009009",1
Spring,gs-accessing-neo4j-data-rest,666,9,6,"0,009009009009009","0,666666666666667"
Spring,gs-accessing-gemfire-data-rest,666,6,6,"0,009009009009009",1
Spring,gs-accessing-data-neo4j,666,17,11,"0,016516516516517","0,647058823529412"
Spring,gs-accessing-data-mongodb,666,12,9,"0,013513513513514","0,75"
Spring,tut-spring-boot-oauth2,666,18,3,"0,004504504504505","0,166666666666667"
Spring,quoters,666,2,2,"0,003003003003003",1
