framework,project,todos nao distintos,todos distintos,apenas do framework nao distintos,apenas do framework distinto
Android,account-transfer-api,9.86,5.86,7.14,3.86
Android,android-AccelerometerPlay,22.00,22.00,22.00,22.00
Android,android-ActionBarCompat-Basic,3.50,3.50,3.00,3.00
Android,android-ActionBarCompat-ListPopupMenu,3.50,3.25,3.00,2.75
Android,android-ActionBarCompat-ShareActionProvider,7.75,7.00,6.50,5.75
Android,android-ActionBarCompat-Styled,3.50,3.50,3.00,3.00
Android,android-ActiveNotifications,4.90,3.40,4.10,2.90
Android,android-ActivityInstrumentation,3.75,3.12,3.25,2.62
Android,android-ActivitySceneTransitionBasic,3.82,2.82,3.55,2.64
Android,android-ads,12.50,3.54,7.88,1.85
Android,android-AdvancedImmersiveMode,4.00,3.00,3.10,2.40
Android,android-AlwaysOn,20.00,20.00,15.00,15.00
Android,android-AppRestrictionEnforcer,9.89,4.56,8.89,3.89
Android,android-AppRestrictions,9.25,6.00,7.75,4.75
Android,android-AppRestrictionSchema,5.44,4.11,4.44,3.44
Android,android-AppShortcuts,11.75,9.25,8.75,6.75
Android,android-AppUsageStatistics,7.67,5.50,5.67,4.00
Android,android-AsymmetricFingerprintDialog,11.44,7.22,5.33,3.44
Android,android-AutoBackupForApps,9.75,7.00,8.00,5.50
Android,android-AutofillFramework,3.21,0.77,1.75,0.44
Android,android-BasicAccessibility,3.11,2.67,3.00,2.56
Android,android-BasicAndroidKeyStore,5.45,4.64,3.00,2.45
Android,android-BasicContactables,3.89,3.00,3.78,2.89
Android,android-BasicGestureDetect,4.00,2.91,3.00,2.36
Android,android-BasicImmersiveMode,3.60,2.80,2.70,2.20
Android,android-BasicManagedProfile,10.20,5.20,9.80,5.00
Android,android-BasicMediaDecoder,11.33,10.33,7.33,7.00
Android,android-BasicMediaRouter,4.11,3.11,4.00,3.00
Android,android-BasicMultitouch,3.00,2.56,2.89,2.44
Android,android-BasicNetworking,4.11,3.00,3.56,2.44
Android,android-BasicNotifications,5.50,5.50,5.00,5.00
Android,android-BasicRenderScript,6.00,6.00,5.50,5.50
Android,android-BasicSyncAdapter,7.41,4.41,5.65,3.29
Android,android-BasicTransition,5.36,3.64,4.73,3.18
Android,android-BatchStepSensor,5.70,3.15,4.45,2.40
Android,android-BeamLargeFiles,4.45,3.45,3.45,2.64
Android,android-BluetoothAdvertisements,11.33,6.83,10.33,6.33
Android,android-BluetoothChat,07.08,4.25,5.83,3.42
Android,android-BluetoothLeGatt,14.75,9.75,13.00,8.75
Android,android-BorderlessButtons,3.71,3.29,3.71,3.29
Android,android-Camera2Basic,15.00,14.25,12.00,11.25
Android,android-Camera2Raw,19.00,18.00,14.25,13.25
Android,android-Camera2Video,17.00,15.67,14.33,13.00
Android,android-CardEmulation,3.92,2.67,03.08,02.08
Android,android-CardReader,4.27,3.00,03.09,2.18
Android,android-CardView,3.67,3.33,3.67,3.33
Android,android-ClippingBasic,4.30,3.10,3.40,2.50
Android,android-codelab-watchface,19.00,4.40,17.00,4.00
Android,android-CommitContentSampleApp,18.00,18.00,16.00,16.00
Android,android-CommitContentSampleIME,27.00,27.00,22.00,22.00
Android,android-ConfirmCredential,28.00,28.00,13.00,13.00
Android,android-ContentProviderPaging,9.17,6.83,7.67,5.33
Android,android-credentials,13.41,6.53,7.88,3.12
Android,android-custom-lint-rules,8.29,3.71,0.00,0.00
Android,android-CustomChoiceList,3.00,2.22,3.00,2.22
Android,android-CustomNotifications,12.00,12.00,10.00,10.00
