repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects,status,ahead_by,behind_by
jgglg/android-DeviceOwner,0,264,0,1,0,1,0,2015-04-06T09:33:45Z,0,behind,0,17
masoud2v/android-DeviceOwner,0,292,0,1,0,1,0,2015-04-23T02:40:14Z,0,behind,0,17
msdgwzhy6/android-DeviceOwner,0,292,0,1,0,1,0,2015-04-24T07:49:10Z,0,behind,0,17
CaledoniaProject/android-DeviceOwner,0,307,0,1,0,2,0,2015-05-07T10:12:10Z,0,behind,0,16
omeirhaeghe/android-DeviceOwner,0,307,0,1,0,2,0,2015-05-21T15:45:11Z,0,behind,0,16
sylsi/android-DeviceOwner,0,325,0,0,0,5,0,2015-07-17T21:31:44Z,0,behind,0,13
bdesemb/android-DeviceOwner,0,325,0,1,0,5,0,2015-07-22T16:46:20Z,0,behind,0,13
yohjizzz/android-DeviceOwner,0,325,0,1,0,5,0,2015-08-11T05:36:47Z,0,behind,0,13
guogang0415/android-DeviceOwner,0,514,0,1,0,7,0,2015-09-08T00:58:38Z,0,behind,0,11
caolei1988/android-DeviceOwner,0,349,0,1,0,8,0,2015-11-16T06:09:39Z,0,behind,0,10
taranjeetsapra/android-DeviceOwner,0,228,0,1,0,9,0,2015-12-09T18:26:49Z,0,behind,0,9
tnblumer/android-DeviceOwner,0,228,0,1,0,10,0,2016-02-12T19:55:33Z,0,behind,0,8
marksalpeter/android-DeviceOwner,1,228,0,1,0,10,0,2016-04-03T22:09:43Z,0,behind,0,8
Miljac/android-DeviceOwner,0,229,0,1,0,11,0,2016-05-09T08:50:40Z,0,behind,0,7
frogoscar/android-DeviceOwner,0,229,0,1,0,12,0,2016-05-25T13:45:50Z,0,behind,0,6
kleopatra999/android-DeviceOwner,0,229,0,1,0,12,0,2016-05-31T10:59:25Z,0,behind,0,6
pkdevboxy/android-DeviceOwner,0,229,0,1,0,12,0,2016-06-02T12:00:39Z,0,behind,0,6
synaptek/android-DeviceOwner,0,229,0,1,0,12,0,2016-06-19T16:24:28Z,0,behind,0,6
agentraymond232/android-DeviceOwner,0,231,0,1,0,13,0,2016-08-17T17:03:23Z,0,behind,0,5
paladinstha/android-DeviceOwner,0,231,0,0,0,13,0,2016-08-22T05:59:39Z,0,behind,0,5
Prissh/android-DeviceOwner,0,231,0,0,0,13,0,2016-09-18T18:56:11Z,0,behind,0,5
buitrungkhang/android-DeviceOwner,0,231,0,1,0,13,0,2016-10-21T03:23:13Z,0,behind,0,5
gogobook/android-DeviceOwner,0,231,0,1,0,13,0,2016-11-14T03:03:03Z,0,behind,0,5
pk-codebox-evo/android-apps-android-DeviceOwner,0,226,0,1,0,14,0,2017-01-23T06:41:24Z,0,behind,0,4
HolySynnr/android-DeviceOwner,0,226,0,0,0,14,0,2017-01-26T05:08:29Z,0,behind,0,4
rdenik/android-DeviceOwner,0,226,0,1,0,14,0,2017-04-07T22:00:27Z,0,behind,0,4
elitelokesh/android-DeviceOwner,0,226,0,1,0,14,0,2017-04-12T10:55:45Z,0,behind,0,4
Saeedaqlan6/android-DeviceOwner,0,228,0,0,0,16,0,2017-07-23T22:03:40Z,0,behind,0,2
nonsensecreativity/android-DeviceOwner,0,228,0,1,0,16,0,2017-08-07T21:02:34Z,0,behind,0,2
ben3726/android-DeviceOwner,0,229,0,1,0,17,0,2017-10-16T03:41:22Z,0,behind,0,1
garnica1/android-DeviceOwner,0,229,0,0,0,17,0,2017-10-24T01:22:15Z,0,behind,0,1
renopey/android-DeviceOwnerD,0,229,0,1,0,17,0,2018-03-21T21:20:17Z,0,behind,0,1
edymaradona/android-DeviceOwner,0,229,0,0,0,17,0,2017-12-16T19:59:18Z,0,behind,0,1
Vanco/android-DeviceOwner,0,229,0,1,0,17,0,2017-12-17T11:06:28Z,0,behind,0,1
hncz003/android-DeviceOwner,0,229,0,0,0,17,0,2018-01-27T09:19:35Z,0,behind,0,1
blackheart78/android-DeviceOwner,0,229,0,0,0,17,0,2018-02-12T12:37:23Z,0,behind,0,1
ebnrdwan/android-DeviceOwner,0,229,0,1,0,17,0,2018-02-12T14:37:16Z,0,behind,0,1
anthrax3/android-DeviceOwner,0,229,0,1,0,18,0,2018-03-05T02:07:23Z,0,identical,0,0
SunilThombare/android-DeviceOwner,0,229,0,0,0,18,0,2018-03-17T17:19:15Z,0,identical,0,0
umerkiani/android-DeviceOwner,0,229,0,1,0,18,0,2018-05-28T10:51:12Z,0,identical,0,0
Tomll/android-DeviceOwner,0,229,0,1,0,18,0,2018-05-29T14:06:09Z,0,identical,0,0
cheftimothyng/android-DeviceOwner,0,229,0,0,0,18,0,2018-08-07T14:16:36Z,0,identical,0,0
forkfromgoogle/android-DeviceOwner,0,229,0,1,0,18,0,2018-08-14T01:33:03Z,0,identical,0,0
lingraphica/android-DeviceOwner,0,229,0,8,0,18,0,2018-08-22T19:38:53Z,0,identical,0,0
iamzubairkhan/android-DeviceOwner,0,229,0,1,0,18,0,2018-10-03T06:39:27Z,0,identical,0,0
Lisa-L/android-DeviceOwner,0,229,0,0,0,18,0,2018-11-09T16:51:22Z,0,identical,0,0
