android-FloatingActionButtonBasic/build.gradle,cd90ee71074a77739007e88fd77f8a55c6fd65be,Google,Mon Aug 25 22:33:36 2014 -0700,Tue Aug 26 00:35:57 2014 -0700,Initial commit
android-FloatingActionButtonBasic/Application/build.gradle,0eb0d286ba64f08713e1ec1152ad5649bb6a38ae,google-automerger,Thu Feb 15 16:36:41 2018 -0800,Thu Feb 15 16:36:41 2018 -0800,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,4cc4a5a1e0b8a2a09029de4541e15ebd1fe2f5ef,google-automerger,Tue Oct 10 17:53:04 2017 -0700,Tue Oct 10 17:53:04 2017 -0700,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,dab2b7822136b6ba005fdb2451f2c985a3d8f75c,google-automerger,Thu Jun 8 09:34:33 2017 -0700,Thu Jun 8 09:34:33 2017 -0700,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,9280c76a48db7e911bc8f44e712596e5501bd751,google-automerger,Wed May 17 13:33:27 2017 -0700,Wed May 17 13:33:27 2017 -0700,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,e3d01681c2860b9adf5fa6e1614ba5f360d704b2,google-automerger,Tue Dec 13 09:40:02 2016 -0800,Tue Dec 13 09:40:02 2016 -0800,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,75aa3c58c0b58fa523b7f24246f12ff878702aad,google-automerger,Fri Aug 12 15:18:53 2016 -0700,Fri Aug 12 15:18:53 2016 -0700,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,05053895b2f6c4fa8822672d8938261eaefdda9b,google-automerger,Wed May 18 11:38:45 2016 -0700,Wed May 18 11:38:45 2016 -0700,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,f841970535410bdc42828af201d9da95ddb876ca,google-automerger,Wed Apr 20 12:26:44 2016 -0700,Wed Apr 20 12:26:44 2016 -0700,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,5f2cd971b5d4568468ab644b5edf444f07dfaf5b,google-automerger,Wed Nov 18 09:33:52 2015 -0800,Wed Nov 18 09:33:52 2015 -0800,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,d7eb5e7f06eea6e6afe7a725a2b0523018d888ec,google-automerger,Thu Oct 8 17:43:05 2015 -0700,Thu Oct 8 17:43:05 2015 -0700,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,f7993daf24b4491a40f81db15a7b3519559bf140,google-automerger,Mon Aug 17 09:54:52 2015 -0700,Mon Aug 17 09:54:52 2015 -0700,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,42f962d787538af184de892072bf6832d4e9fec9,google-automerger,Thu Jul 9 11:10:43 2015 -0700,Thu Jul 9 11:10:43 2015 -0700,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,017ad4a448c1b644e11754effe61eef61ed80419,google-automerger,Thu May 21 10:04:46 2015 -0700,Thu May 21 10:04:46 2015 -0700,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,6fb2724b4ab2089cd6f05742e901c3dd650e05ad,google-automerger,Tue Apr 28 10:55:09 2015 -0700,Tue Apr 28 10:55:09 2015 -0700,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,bbce162f9c28dff8ced7da8bc89eb9e59f950b92,google-automerger,Mon Mar 30 17:44:22 2015 -0700,Mon Mar 30 17:44:22 2015 -0700,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,643002780bea97afc67c365c2d678827409e0502,google-automerger,Mon Dec 8 17:50:48 2014 -0800,Mon Dec 8 17:50:48 2014 -0800,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,0dd235dba337767cc9cb82338e4fa6c1883ab96d,google-automerger,Wed Dec 3 01:52:20 2014 -0800,Wed Dec 3 01:52:20 2014 -0800,Auto-update
android-FloatingActionButtonBasic/Application/build.gradle,773028bc01118b3d5c57f3da537936f6ae738e2b,google-automerger,Tue Nov 18 16:19:06 2014 -0800,Tue Nov 18 16:19:06 2014 -0800,Auto-update
